LoadFactor,Chaining,LinearProbing,DoubleHashing
0.1,5,1,1
0.2,9,2,2
0.3,21,3,4
0.4,19,5,6
0.5,23,8,8
0.6,28,10,10
0.7,34,13,14
0.8,38,18,17
